"","Site","Quadrat","Compaction_Ratio","Core_Length_Corrected_cm","Bagged_Slice_Number","Slice_Number","Analysis","Rhizome_Removed","Slice_Height_cm","Slice_Height_Corrected_cm","Slice_Volume","Sample_Density_g_per_ml","Sediment_Density_g_per_ml","Rhizome_Density_g_per_ml","Factor","Percent_Shell","Percent_Gravel","Percent_Coarse","Percent_Medium","Percent_Fine","Percent_Silt","Percent_Sands"
"147","SMAR23",1,0.898,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"148","SMAR24",1,0.756,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"149","SMAR25",1,0.742,50,6,14,"grainsize ","N",2,2.69541778975741,54.6315341345011,0.792456237699893,0.792456237699893,0,"Seagrass",0,0.47,24.99,40.31,31.84,1.76,97.14
"150","SMAR25",1,0.742,50,11,9,"grainsize ","N",2,2.69541778975741,54.6315341345011,0.816654716123458,0.816654716123458,0,"Seagrass",0,1.06,23.78,42,31.56,1.32,97.34
"151","SMAR25",1,0.742,50,16,4,"grainsize ","Y",2,2.69541778975741,54.6315341345011,0.71257929356619,0.711817828587052,0.000761464979137912,"Seagrass",0,0.17,15.47,37.68,36.81,1.93,89.96
"152","SMARA",1,0.829411765,33.9999999879433,4,9,"grainsize ","N",2,2.41134751687541,48.873912860158,1.01159078753246,1.01159078753246,0,"Control",0,0.14,16.48,29.08,52.4,1.92,97.96
"153","SMARA",1,0.829411765,33.9999999879433,9,4,"grainsize ","Y",2,2.41134751687541,48.873912860158,1.24068232829034,1.24068232829034,0,"Control",0,0.07,8.42,27.19,63.04,1.13,98.65
"154","SMARB",1,0.904,50,4,19,"grainsize ","N",2,2.21238938053097,44.841369831637,1.07449661285785,1.07449661285785,0,"Control",0,0.08,18.26,32.17,47.7,1.75,98.13
"155","SMARB",1,0.904,50,9,14,"grainsize ","N",2,2.21238938053097,44.841369831637,0.915480507266684,0.915480507266684,0,"Control",0,3.34,18.55,38.18,41.27,1.6,98
"156","SMARB",1,0.904,50,14,9,"grainsize ","N",2,2.21238938053097,44.841369831637,0.995139090700053,0.995139090700053,0,"Control",17.55,1.08,19.72,31.5,44.99,1.25,96.21
"157","SMARB",1,0.904,50,19,4,"grainsize ","Y",2,2.21238938053097,44.841369831637,0.763210404331902,0.763210404331902,0,"Control",0.35,0,8.3,27.26,61.12,2.85,96.68
"158","SMARC",1,0.850793651,31.4999999923601,8,4,"grainsize ","Y",2,2.35074626808657,47.6456286199999,1.1409693097675,1.1409693097675,0,"Control",0.41,0.86,33.43,56.11,8.8,0.11,98.34
"159","SMARC",1,0.850793651,31.4999999923601,3,9,"grainsize ","N",2,2.35074626808657,47.6456286199999,1.3025392212781,1.3025392212781,0,"Control",0,1.5,35.89,45.81,15.97,0.54,97.67
"160","STCH01",1,0.642857143,27.9999999937778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"161","STCH02",1,0.54,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"162","STCH04",1,0.924,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"163","STCH05",1,0.76,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"164","STCH12",1,0.74,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"165","STCH21",1,0.836363636,44.0000000191304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass",NA,NA,NA,NA,NA,NA,NA
"166","STCHA",1,1,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA
"167","STCHB",1,0.469387755,24.5000000053261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA
"168","STCHC",1,0.834782609,22.9999999916146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Control",NA,NA,NA,NA,NA,NA,NA
