"","Site","Quadrat","Bagged_Slice_Number","Slice_Number","Analysis","Rhizome_Removed","Slice_Height_cm","Shell_gDW","Rhizome_gDW","Frac_Shell","Shell_Density_g_per_ml","Frac_Rhizome","Rhizome_Density_g_per_ml","Frac_OLOI","Frac_ILOI","OLOI","ILOI","Sample_Weight_gDW","Sediment_Weight_gDW","Sample_Density_g_per_ml","Sediment_Densit_g_per_ml","Organic_Content_gDW","Inorganic_Content_gDW","Organic_Density_g_per_ml","Inorganic_Density_g_per_ml","Percent_Carbon","Factor"
"120","SMAR12",3,16,5,"LOI alysis ","N",2,0.08,0.1926,0.00183041230037066,0.00197318445979957,0.00440671761314236,0.00475044158696746,0.041,0.015,4.101,1.456,43.706,43.409,1.078,1.071,1.78,0.632,0.044,0.016,1.430406337,"Seagrass"
"121","SMAR12",3,18,3,"LOI alysis ","N",2,0.1673,0.0702,0.00442604301701103,0.00412507209185428,0.00185719198920606,0.00173090293394005,0.049,0.015,4.934,1.452,37.799,37.553,0.932,0.926,1.853,0.545,0.046,0.013,1.763444889,"Seagrass"
"122","SMAR12",3,19,2,"LOI alysis ","N",2,0.1793,0.2365,0.00486778519845795,0.00442481674539827,0.00642069826790465,0.00583641472552533,0.034,0.016,3.397,1.557,36.834,36.427,0.909,0.899,1.237,0.567,0.031,0.014,1.148788066,"Seagrass"
"123","SMAR12",3,20,1,"LOI alysis ","N",3.6,0.2592,0.0995,0.00321608040201005,0.00355376884422111,0.00123456790123457,0.0013641975308642,0.038,0.018,3.824,1.771,80.595,80.171,1.105,1.099,3.066,1.42,0.042,0.019,1.319589666,"Seagrass"
"124","SMAR04",1,1,15,"LOI alysis ","N",2,0.0532,0,0.00118156579677957,0.0013127196002221,0,0,0.023,0.009,2.33,0.935,45.025,44.975,1.111,1.109,1.048,0.42,0.026,0.01,0.722125776,"Seagrass"
"125","SMAR04",1,6,10,"LOI alysis ","N",2,0,0,0,0,0,0,0.026,0.009,2.615,0.879,47.4,47.4,1.169,1.169,1.24,0.417,0.031,0.01,0.836161263,"Seagrass"
"126","SMAR04",1,9,7,"LOI alysis ","N",2,0.5369,0,0.0120286770471603,0.0132435734289235,0,0,0.03,0.018,2.965,1.833,44.635,44.107,1.101,1.088,1.308,0.808,0.032,0.02,0.975814447,"Seagrass"
"127","SMAR04",1,10,6,"LOI alysis ","N",2,0.5031,0,0.0129725130215048,0.0124146949615801,0,0,0.031,0.02,3.116,2.027,38.782,35.803,0.957,0.883,1.116,0.726,0.028,0.018,1.03630268,"Seagrass"
"128","SMAR04",1,11,5,"LOI alysis ","N",2,0.3445,0.0506,0.0117208764289603,0.00849763541099619,0.00172155688622754,0.00124812874251497,0.048,0.024,4.759,2.421,29.392,29.053,0.725,0.717,1.383,0.704,0.034,0.017,1.693475582,"Seagrass"
"129","SMAR04",1,13,3,"LOI alysis ","N",2,1.7788,0.0327,0.0581155253528489,0.0438772216414009,0.00106834814427601,0.000806602848928385,0.041,0.028,4.117,2.774,30.608,28.852,0.755,0.712,1.188,0.8,0.029,0.02,1.436774379,"Seagrass"
"130","SMAR04",1,14,2,"LOI alysis ","N",2,0.4403,0.0295,0.0161134492223239,0.0108604647758463,0.00107959743824337,0.000727648673376029,0.047,0.033,4.701,3.293,27.325,26.9,0.674,0.664,1.265,0.886,0.031,0.022,1.670358163,"Seagrass"
"131","SMAR04",1,15,1,"LOI alysis ","N",2.7,0.2947,0.0447,0.0111367243594588,0.00539017458997808,0.00168921472299902,0.000817579925931524,0.053,0.045,5.26,4.519,26.462,26.123,0.484,0.477,1.374,1.181,0.025,0.022,1.893954903,"Seagrass"
"132","STCH06",3,1,11,"LOI alysis ","N",2,0,0,0,0,0,0,0.035,0.045,3.499,4.471,50.076,50.076,1.235,1.235,1.752,2.239,0.043,0.055,1.189655822,"Seagrass"
"133","STCH06",3,2,10,"LOI alysis ","N",2,0,0,0,0,0,0,0.027,0.048,2.669,4.776,41.626,41.626,1.027,1.027,1.111,1.988,0.027,0.049,0.857733015,"Seagrass"
"134","STCH06",3,5,7,"LOI alysis ","N",2,0.4939,0,0.0137419659998331,0.0121891238418519,0,0,0.045,0.092,4.515,9.247,35.941,35.46,0.887,0.875,1.601,3.279,0.039,0.081,1.595804655,"Seagrass"
"135","STCH06",3,6,6,"LOI alysis ","N",2,0.3083,0,0.00932152143677814,0.00760636149241096,0,0,0.049,0.102,4.878,10.233,33.074,32.783,0.816,0.809,1.599,3.355,0.039,0.083,1.741267986,"Seagrass"
"136","STCH06",3,7,5,"LOI alysis ","N",2,0.5013,0,0.0150211248614149,0.0123623857609445,0,0,0.052,0.105,5.17,10.544,33.373,32.788,0.823,0.809,1.695,3.457,0.042,0.085,1.858063633,"Seagrass"
"137","STCH06",3,9,3,"LOI alysis ","N",2,0.4495,0.0497,0.0171238095238095,0.0110962285714286,0.00189333333333333,0.00122688,0.06,0.115,5.962,11.457,26.25,25.725,0.648,0.635,1.534,2.947,0.038,0.073,2.174616034,"Seagrass"
"138","STCH06",3,10,2,"LOI alysis ","N",2,1.1386,0.1481,0.045118085275004,0.0281085671263275,0.00586860041210968,0.00365613805674433,0.058,0.119,5.775,11.857,25.236,23.961,0.623,0.591,1.384,2.841,0.034,0.07,2.100055515,"Seagrass"
"139","STCH06",3,11,1,"LOI alysis ","N",2.7,0.9482,0.0547,0.0271418348361242,0.0173164906254473,0.00156576499212824,0.000998958064977816,0.028,0.124,2.787,12.372,34.935,33.962,0.638,0.621,0.947,4.202,0.017,0.077,0.904961478,"Seagrass"
"140","STCH20",2,1,12,"LOI alysis ","N",2,2.0103,0,0.072438022484866,0.0496200454021332,0,0,0.094,0.148,9.413,14.842,27.752,25.733,0.685,0.635,2.422,3.819,0.06,0.094,3.555121683,"Seagrass"
"141","STCH20",2,3,10,"LOI alysis ","N",2,0,0,0,0,0,0,0.063,0.098,6.295,9.781,33.886,33.886,0.836,0.836,2.133,3.314,0.053,0.082,2.307829744,"Seagrass"
"142","STCH20",2,6,7,"LOI alysis ","N",2,1.3786,0,0.0378081891232208,0.0339895620217755,0,0,0.056,0.127,5.619,12.714,36.463,35.062,0.899,0.865,1.97,4.458,0.049,0.11,2.037789514,"Seagrass"
"143","STCH20",2,7,6,"LOI alysis ","N",2,0.3247,0,0.00987440318705714,0.00800814098470334,0,0,0.074,0.143,7.359,14.257,32.883,32.575,0.811,0.804,2.397,4.644,0.059,0.115,2.7335861,"Seagrass"
"144","STCH20",2,8,5,"LOI alysis ","N",2,0.7744,0.114,0.0230304832713755,0.0190922706319703,0.00339033457249071,0.0028105873605948,0.042,0.156,4.156,15.558,33.625,32.748,0.829,0.808,1.361,5.095,0.034,0.126,1.452269129,"Seagrass"
"145","STCH20",2,10,3,"LOI alysis ","N",2,2.0377,0.2124,0.068303556464318,0.0502714175577381,0.00711963262159354,0.00524004960949284,0.066,0.181,6.631,18.122,29.833,27.601,0.736,0.681,1.83,5.002,0.045,0.123,2.442549907,"Seagrass"
"146","STCH20",2,11,2,"LOI alysis ","N",2,2.9906,0.0363,0.0720192655027092,0.0737477278747742,0.000874172185430464,0.000895152317880795,0.046,0.183,4.641,18.273,41.525,38.525,1.024,0.95,1.788,7.04,0.044,0.174,1.646416668,"Seagrass"
"147","STCH20",2,12,1,"LOI alysis ","N",2.5,4.6152,0.0633,0.0831762394795177,0.0910779822300719,0.00114080775677186,0.00124918449366518,0.03,0.18,3.002,18.047,55.487,50.824,1.095,1.003,1.526,9.172,0.03,0.181,0.990976308,"Seagrass"
"148","STCH05",3,1,23,"LOI alysis ","N",2,0,0,0,0,0,0,0.029,0.029,2.94,2.923,39.594,39.594,0.977,0.977,1.164,1.157,0.029,0.029,0.965895765,"Seagrass"
"149","STCH05",3,4,20,"LOI alysis ","N",2,0,0,0,0,0,0,0.038,0.027,3.815,2.693,46.024,46.024,1.135,1.135,1.756,1.239,0.043,0.031,1.316045297,"Seagrass"
"150","STCH05",3,9,15,"LOI alysis ","N",2,0,0,0,0,0,0,0.041,0.039,4.11,3.863,47.753,47.753,1.178,1.178,1.962,1.845,0.048,0.046,1.433818268,"Seagrass"
"151","STCH05",3,14,10,"LOI alysis ","N",2,0,0,0,0,0,0,0.058,0.035,5.76,3.505,48.25,48.25,1.19,1.19,2.779,1.691,0.069,0.042,2.094115722,"Seagrass"
"152","STCH05",3,17,7,"LOI alysis ","N",2,0,0,0,0,0,0,0.035,0.026,3.546,2.601,41.114,41.114,1.014,1.014,1.458,1.069,0.036,0.026,1.208368504,"Seagrass"
"153","STCH05",3,18,6,"LOI alysis ","N",2,0,0,0,0,0,0,0.051,0.035,5.141,3.491,38.996,38.996,0.962,0.962,2.005,1.361,0.049,0.034,1.846329558,"Seagrass"
"154","STCH05",3,19,5,"LOI alysis ","N",2,0,0.01,0,0,0.000259598660470912,0.000246618727447366,0.05,0.039,4.992,3.853,38.521,38.513,0.95,0.95,1.923,1.484,0.047,0.037,1.786925936,"Seagrass"
"155","STCH05",3,21,3,"LOI alysis ","N",2,0,0,0,0,0,0,0.041,0.034,4.061,3.38,39.398,39.398,0.972,0.972,1.6,1.332,0.039,0.033,1.414378148,"Seagrass"
"156","STCH05",3,22,2,"LOI alysis ","N",2,0,0.3197,0,0,0.01033190059141,0.00788324015124584,0.041,0.035,4.057,3.533,30.943,30.614,0.763,0.755,1.242,1.082,0.031,0.027,1.412652661,"Seagrass"
"157","STCH05",3,23,1,"LOI alysis ","N",3,0.7081,0.0707,0.0127495993806154,0.0116403842345019,0.00127297934784566,0.00116223014458309,0.043,0.045,4.321,4.47,55.539,54.751,0.913,0.9,2.366,2.447,0.039,0.04,1.518244944,"Seagrass"
"158","SJB02",3,1,18,"LOI alysis ","N",2,0,0,0,0,0,0,0.045,0.008,4.538,0.789,45.691,45.691,1.127,1.127,2.073,0.36,0.051,0.009,1.605006806,"Seagrass"
"159","SJB02",3,4,15,"LOI alysis ","N",2,0,0,0,0,0,0,0.03,0.009,3.013,0.862,46.247,46.247,1.141,1.141,1.393,0.399,0.034,0.01,0.995001608,"Seagrass"
"160","SJB02",3,9,10,"LOI alysis ","N",2,0.3371,0,0.00715954464361567,0.0083193908758814,0,0,0.014,0.007,1.435,0.714,47.084,46.747,1.162,1.153,0.671,0.334,0.017,0.008,0.364060433,"Seagrass"
"161","SJB02",3,12,7,"LOI alysis ","N",2,0.3143,0,0.00757367647413191,0.00775544470951107,0,0,0.054,0.011,5.409,1.072,41.499,41.19,1.024,1.016,2.228,0.442,0.055,0.011,1.953794469,"Seagrass"
"162","SJB02",3,13,6,"LOI alysis ","N",2,0,0.1344,0,0,0.00331679869697194,0.00331679869697194,0.059,0.014,5.892,1.379,40.521,40.394,1,0.996,2.38,0.557,0.059,0.014,2.146734825,"Seagrass"
"163","SJB02",3,14,5,"LOI alysis ","N",2,0.0586,0.0198,0.00136717838644954,0.00144510755447716,0.000461947645933461,0.000488278661751668,0.042,0.012,4.198,1.204,42.862,42.779,1.057,1.055,1.796,0.515,0.044,0.013,1.469167235,"Seagrass"
"164","SJB02",3,16,3,"LOI alysis ","N",2,0.1679,0.2772,0.00428218011170905,0.00414086816802265,0.00706980540182101,0.00683650182356092,0.031,0.007,3.102,0.714,39.209,38.802,0.967,0.957,1.204,0.277,0.03,0.007,1.030707918,"Seagrass"
"165","SJB02",3,17,2,"LOI alysis ","N",2,0.3878,0.1555,0.00870189610681028,0.00956338382138449,0.0034892853135869,0.003834724559632,0.027,0.008,2.67,0.807,44.565,44.027,1.099,1.086,1.175,0.356,0.029,0.009,0.857963808,"Seagrass"
"166","SJB02",3,18,1,"LOI alysis ","N",1.9,1.5097,0.7875,0.0285614287335881,0.0392148416512165,0.0148984070528586,0.0204555128835749,0.026,0.01,2.6,1.026,52.858,50.553,1.373,1.313,1.314,0.519,0.034,0.013,0.829821884,"Seagrass"
"167","SJB24",1,1,14,"LOI alysis ","N",2,0,0,0,0,0,0,0.032,0.005,3.212,0.497,52.076,52.076,1.285,1.285,1.673,0.259,0.041,0.006,1.07468753,"Seagrass"
"168","SJB24",1,5,10,"LOI alysis ","N",2,0.9163,0,0.0224980357493616,0.0226105259281084,0,0,0.024,0.008,2.39,0.805,40.728,39.816,1.005,0.982,0.952,0.32,0.023,0.008,0.745965716,"Seagrass"
"169","SJB24",1,8,7,"LOI alysis ","N",2,0,0,0,0,0,0,0.042,0.008,4.177,0.763,47.276,47.276,1.166,1.166,1.975,0.361,0.049,0.009,1.460924471,"Seagrass"
"170","SJB24",1,9,6,"LOI alysis ","Y",2,0,0.2347,0,0,0.00566238027455427,0.00578695264059447,0.03,0.007,3.014,0.667,41.449,41.449,1.022,1.022,1.249,0.277,0.031,0.007,0.995627597,"Seagrass"
"171","SJB24",1,10,5,"LOI alysis ","Y",2,0,0.431,0,0,0.00980102330869812,0.0106341102899375,0.043,0.005,4.336,0.505,43.975,43.548,1.085,1.074,1.888,0.22,0.047,0.005,1.524544389,"Seagrass"
"172","SJB24",1,12,3,"LOI alysis ","Y",2,0.0898,0.6748,0.00228370886526626,0.00221519759930828,0.0171608768628249,0.0166460505569401,0.028,0.01,2.811,1.023,39.322,38.524,0.97,0.95,1.083,0.394,0.027,0.01,0.914229473,"Seagrass"
"173","SJB24",1,13,2,"LOI alysis ","Y",2,1.0468,1.5469,0.0285776685776686,0.0258342123942124,0.0422304122304122,0.0381762926562927,0.035,0.016,3.507,1.636,36.63,34.034,0.904,0.84,1.194,0.557,0.029,0.014,1.192847346,"Seagrass"
"174","SJB24",1,14,1,"LOI alysis ","Y",2.6,1.172,0.3472,0.0164198551354078,0.0222324838533421,0.00486431203328803,0.006586278493072,0.036,0.006,3.615,0.602,71.377,69.859,1.354,1.326,2.525,0.421,0.048,0.008,1.235903453,"Seagrass"
"175","SJBA",1,18,1,"LOI alysis ","Y",1.9,0,0,0,0,0,0,0.016,0.009,1.642,0.87,44.781,44.781,1.163,1.163,0.735,0.39,0.019,0.01,0.446949434,"Control"
"176","SJBA",1,17,2,"LOI alysis ","Y",2,0,0,0,0,0,0,0.026,0.005,2.611,0.53,59.954,59.954,1.479,1.479,1.565,0.318,0.039,0.008,0.83423098,"Control"
"177","SJBA",1,16,3,"LOI alysis ","Y",2,0,0,0,0,0,0,0.012,0.006,1.159,0.642,54.287,54.287,1.339,1.339,0.629,0.349,0.016,0.009,0.253478431,"Control"
"178","SJBA",1,14,5,"LOI alysis ","Y",2,0,0,0,0,0,0,0.005,0.005,0.465,0.465,59.761,59.761,1.474,1.474,0.278,0.278,0.007,0.007,0.01,"Control"
"179","SJBA",1,13,6,"LOI alysis ","Y",2,0,0,0,0,0,0,0.004,0.006,0.368,0.557,54.637,54.637,1.348,1.348,0.201,0.305,0.005,0.008,0.01,"Control"
"180","SJBA",1,12,7,"LOI alysis ","N",2,0,0,0,0,0,0,0.033,0.005,3.279,0.491,64.007,64.007,1.579,1.579,2.099,0.314,0.052,0.008,1.101550048,"Control"
"181","SJBA",1,9,10,"LOI alysis ","N",2,0,0,0,0,0,0,0.003,0.004,0.267,0.394,58.08,68.08,1.433,1.679,0.182,0.269,0.004,0.007,0.01,"Control"
"182","SJBA",1,4,15,"LOI alysis ","N",2,0,0,0,0,0,0,0.013,0.005,1.341,0.466,51.825,51.825,1.278,1.278,0.695,0.242,0.017,0.006,0.326523823,"Control"
"183","SJBA",1,1,18,"LOI alysis ","N",2,0,0,0,0,0,0,0.016,0.006,1.637,0.553,47.86,47.86,1.181,1.181,0.784,0.265,0.019,0.007,0.444978137,"Control"
"184","SJB06",1,17,1,"LOI alysis ","Y",2.7,0.1012,0.3127,0.00141214556820719,0.00184991069435142,0.00436341817369949,0.00571607780754633,0.012,0.004,1.16,0.378,71.664,71.252,1.31,1.302,0.826,0.269,0.015,0.005,0.253869608,"Seagrass"
"185","SJB06",1,16,2,"LOI alysis ","Y",2,0,0.2574,0,0,0.00547846075259663,0.00634953601225949,0.009,0.005,0.906,0.472,46.984,46.741,1.159,1.153,0.423,0.221,0.01,0.005,0.152322704,"Seagrass"
"186","SJB06",1,15,3,"LOI alysis ","Y",2,0,0.2453,0,0,0.00518254035324939,0.00605320713259528,0.009,0.004,0.93,0.389,47.332,47.091,1.168,1.162,0.438,0.183,0.011,0.005,0.162183724,"Seagrass"
"187","SJB06",1,13,5,"LOI alysis ","Y",2,0,0.0602,0,0,0.00109906159856866,0.00148483221966626,0.009,0.004,0.946,0.419,54.774,54.638,1.351,1.348,0.517,0.229,0.013,0.006,0.168519594,"Seagrass"
"188","SJB06",1,12,6,"LOI alysis ","Y",2,0.0052,0.0311,9.97353178104262e-05,0.000128259618704208,0.000596493919981587,0.000767091181096321,0.024,0.005,2.385,0.501,52.138,52.108,1.286,1.285,1.243,0.261,0.031,0.006,0.744198699,"Seagrass"
"189","SJB06",1,11,7,"LOI alysis ","N",2,0.0118,0,0.000206041557534486,0.000291136720796228,0,0,0.023,0.005,2.3,0.479,57.27,57.203,1.413,1.411,1.316,0.274,0.032,0.007,0.710172468,"Seagrass"
"190","SJB06",1,8,10,"LOI alysis ","N",2,0.7386,0,0.011772956947256,0.0182245373543523,0,0,0.017,0.008,1.722,0.809,62.737,61.987,1.548,1.529,1.067,0.501,0.026,0.012,0.478715534,"Seagrass"
"191","SJB06",1,3,15,"LOI alysis ","N",2,0,0,0,0,0,0,0.024,0.006,2.394,0.567,48.437,48.437,1.195,1.195,1.159,0.275,0.029,0.007,0.747446039,"Seagrass"
"192","SJB06",1,1,17,"LOI alysis ","N",2,2.1442,0,0.0374284317832705,0.0528863741097612,0,0,0.004,0.007,0.437,0.679,57.288,55.146,1.413,1.36,0.241,0.375,0.006,0.009,0.01,"Seagrass"
"193","SJB07",2,14,1,"LOI alysis ","Y",1.5,0,0,0,0,0,0,0.016,0.008,1.586,0.847,40.725,40.725,1.34,1.34,0.646,0.345,0.021,0.011,0.424244025,"Seagrass"
"194","SJB07",2,13,2,"LOI alysis ","Y",2,0.5339,0.2347,0.0117425825323861,0.0131751776013372,0.00516198561594123,0.00579174786108606,0.006,0.014,0.579,1.418,45.467,44.701,1.122,1.103,0.259,0.634,0.006,0.016,0.021433829,"Seagrass"
"195","SJB07",2,12,3,"LOI alysis ","Y",2,0.2214,0.2138,0.00433047764346908,0.00546073230841451,0.00418182529437077,0.00527328169620154,0.006,0.007,0.584,0.725,51.126,50.688,1.261,1.25,0.296,0.367,0.007,0.009,0.023624864,"Seagrass"
"196","SJB07",2,10,5,"LOI alysis ","Y",2,1.6512,0.3113,0.0338374523546047,0.0407402926349441,0.00637935980982827,0.00768074921103324,0.018,0.009,1.788,0.918,48.798,46.835,1.204,1.155,0.837,0.43,0.021,0.011,0.50502963,"Seagrass"
"197","SJB07",2,9,6,"LOI alysis ","Y",2,0,0.3263,0,0,0.00710382513661202,0.00804863387978142,0.004,0.006,0.404,0.611,45.933,45.607,1.133,1.125,0.184,0.279,0.005,0.007,0.01,"Seagrass"
"198","SJB07",2,8,7,"LOI alysis ","N",2,3.1546,0,0.0697688820081831,0.0777923034391242,0,0,0.008,0.01,0.827,0.981,45.215,42.052,1.115,1.037,0.348,0.412,0.009,0.01,0.120881116,"Seagrass"
"199","SJB07",2,5,10,"LOI alysis ","N",2,2.6521,0,0.0531760035288928,0.0654064843405382,0,0,0.008,0.019,0.76,1.88,49.874,47.208,1.23,1.165,0.359,0.887,0.009,0.022,0.094167317,"Seagrass"
"200","SJB07",2,1,14,"LOI alysis ","N",2,0.25,0,0.00467377079828005,0.00616937745372967,0,0,0.012,0.006,1.185,0.596,53.49,53.246,1.32,1.314,0.631,0.317,0.016,0.008,0.263851997,"Seagrass"
"201","SJB13",1,1,19,"LOI alysis ","N",2,0.0417,0,0.000831837223219629,0.00102898264512268,0,0,0.007,0.005,0.72,0.511,50.13,50.089,1.237,1.236,0.36,0.256,0.009,0.006,0.077801662,"Seagrass"
"202","SJB13",1,5,15,"LOI alysis ","N",2,0.2563,0,0.00467495987158908,0.00632054574638844,0,0,0.004,0.005,0.406,0.466,54.824,54.568,1.352,1.346,0.222,0.254,0.005,0.006,0.01,"Seagrass"
"203","SJB13",1,10,10,"LOI alysis ","N",2,0,0,0,0,0,0,0.003,0.006,0.332,0.629,46.912,46.912,1.157,1.157,0.156,0.295,0.004,0.007,0.01,"Seagrass"
"204","SJB13",1,13,7,"LOI alysis ","N",2,0,0,0,0,0,0,0.01,0.004,0.965,0.366,56.49,56.49,1.394,1.394,0.545,0.207,0.013,0.005,0.175803202,"Seagrass"
"205","SJB13",1,14,6,"LOI alysis ","Y",2,0,0.126,0,0,0.00237574477713251,0.00310747416848933,0.008,0.005,0.844,0.503,53.036,52.91,1.308,1.305,0.446,0.266,0.011,0.007,0.127555044,"Seagrass"
"206","SJB13",1,15,5,"LOI alysis ","Y",2,0.1074,0.1081,0.00179652738282426,0.00264987788966579,0.0018082365929544,0.00266714897460774,0.007,0.007,0.728,0.677,59.782,59.565,1.475,1.469,0.434,0.403,0.011,0.01,0.081335133,"Seagrass"
"207","SJB13",1,17,3,"LOI alysis ","Y",2,0.0621,0.4828,0.00111408119696453,0.00153186164582623,0.00866148795321218,0.0119095459356667,0.006,0.005,0.593,0.471,55.741,55.197,1.375,1.362,0.327,0.26,0.008,0.006,0.02702083,"Seagrass"
"208","SJB13",1,18,2,"LOI alysis ","Y",2,0.1415,0.1635,0.00243654647518683,0.00349157109894273,0.0028153734889968,0.00403443020973241,0.006,0.009,0.618,0.907,58.074,57.771,1.433,1.425,0.357,0.524,0.009,0.013,0.037076884,"Seagrass"
"209","SJB13",1,19,1,"LOI alysis ","Y",2.5,0.8747,0.0173,0.0113876918670503,0.0172637408704482,0.000225228157425369,0.000341445886656859,0.007,0.013,0.672,1.303,76.811,75.919,1.516,1.498,0.51,0.989,0.01,0.02,0.058893744,"Seagrass"
"210","SJBC",1,14,1,"LOI alysis ","Y",4,0.0618,0,0.000635038071457197,0.000762045685748636,0,0,0.005,0.003,0.527,0.35,97.317,97.256,1.2,1.2,0.512,0.34,0.006,0.004,0.000636809,"Control"
"211","SJBC",1,13,2,"LOI alysis ","Y",2,0.0158,0,0.000316202369516491,0.000389877521613833,0,0,0.016,0.004,1.554,0.402,49.968,49.958,1.233,1.232,0.777,0.201,0.019,0.005,0.411734228,"Control"
"212","SJBC",1,12,3,"LOI alysis ","Y",2,0,0,0,0,0,0,0.003,0.004,0.341,0.429,52.966,52.966,1.307,1.307,0.181,0.227,0.004,0.006,0.01,"Control"
"213","SJBC",1,10,5,"LOI alysis ","Y",2,0.0981,0,0.0016466362293541,0.00242055525715053,0,0,0.003,0.005,0.31,0.461,59.576,59.478,1.47,1.467,0.184,0.274,0.005,0.007,0.01,"Control"
"214","SJBC",1,9,6,"LOI alysis ","Y",2,0,0,0,0,0,0,0.007,0.004,0.658,0.369,57.349,57.349,1.415,1.415,0.377,0.212,0.009,0.005,0.05316601,"Control"
"215","SJBC",1,8,7,"LOI alysis ","N",2,0,0,0,0,0,0,0.004,0.004,0.367,0.438,55.317,55.317,1.365,1.365,0.203,0.242,0.005,0.006,0.01,"Control"
"216","SJBC",1,5,10,"LOI alysis ","N",2,0,0,0,0,0,0,0.003,0.005,0.344,0.463,57.712,57.712,1.424,1.424,0.198,0.267,0.005,0.007,0.01,"Control"
"217","SJBC",1,1,14,"LOI alysis ","N",2,0.0443,0,0.000729074092360357,0.00109288206444817,0,0,0.006,0.005,0.637,0.504,60.762,60.732,1.499,1.498,0.387,0.306,0.01,0.008,0.044739471,"Control"
"218","SJB17",1,1,18,"LOI alysis ","N",2,0.7767,0,0.0255695285751909,0.019151576902818,0,0,0.051,0.02,5.1,1.975,30.376,29.602,0.749,0.73,1.51,0.585,0.037,0.014,1.82993738,"Seagrass"
"219","SJB17",1,4,15,"LOI alysis ","N",2,0.3801,0,0.0118021486679501,0.00937090604235236,0,0,0.04,0.043,3.957,4.276,32.206,31.833,0.794,0.785,1.26,1.361,0.031,0.034,1.372661866,"Seagrass"
"220","SJB17",1,9,10,"LOI alysis ","N",2,2.2434,0,0.0579405459851752,0.0553332214158423,0,0,0.042,0.024,4.202,2.368,38.719,36.475,0.955,0.9,1.533,0.864,0.038,0.021,1.470831361,"Seagrass"
"221","SJB17",1,12,7,"LOI alysis ","N",2,0.4442,0,0.0127015898433032,0.0109614720347707,0,0,0.026,0.011,2.646,1.095,34.972,34.529,0.863,0.852,0.914,0.378,0.023,0.009,0.848257301,"Seagrass"
"222","SJB17",1,13,6,"LOI alysis ","Y",2,0.8394,0.085,0.0194910137927832,0.0206994566479357,0.00197371476338643,0.00209608507871639,0.029,0.018,2.9,1.83,43.066,42.149,1.062,1.04,1.222,0.771,0.03,0.019,0.949955515,"Seagrass"
"223","SJB17",1,14,5,"LOI alysis ","Y",2,0.2842,0.1726,0.00949168392224968,0.00701435441854252,0.00576447799078218,0.00425994923518803,0.036,0.014,3.632,1.448,29.942,29.488,0.739,0.727,1.071,0.427,0.026,0.011,1.24291666,"Seagrass"
"224","SJB17",1,16,3,"LOI alysis ","Y",2,0.256,0.3039,0.00755206796861172,0.0063135288217594,0.00896513068617617,0.00749484925364328,0.034,0.018,3.369,1.836,33.898,33.338,0.836,0.822,1.123,0.612,0.028,0.015,1.137720245,"Seagrass"
"225","SJB17",1,17,2,"LOI alysis ","Y",2,0.5258,0.1229,0.0186341567140376,0.0129693730729702,0.00435553035404189,0.00303144912641315,0.042,0.022,4.214,2.178,28.217,27.566,0.696,0.68,1.162,0.6,0.029,0.015,1.475530119,"Seagrass"
"226","SJB17",1,18,1,"LOI alysis ","Y",2.1,1.9072,0.1512,0.0412269514277685,0.0448136962019844,0.00326841183718467,0.00355276366701974,0.024,0.019,2.372,1.893,46.261,44.203,1.087,1.039,1.048,0.837,0.025,0.02,0.738646727,"Seagrass"
"227","SJB02",1,1,21,"LOI alysis ","N",2,0.0833,0,0.00175560613724498,0.00205581478671388,0,0,0.02,0.008,2.032,0.822,47.448,47.366,1.171,1.168,0.962,0.389,0.024,0.01,0.602807165,"Seagrass"
"228","SJB02",1,2,20,"LOI alysis ","N",2,0.6771,0,0.010956487969061,0.016708644152818,0,0,0.021,0.009,2.079,0.905,61.799,61.137,1.525,1.508,1.271,0.554,0.031,0.014,0.621724463,"Seagrass"
"229","SJB02",1,7,15,"LOI alysis ","N",2,0.1998,0,0.00610542398777693,0.00492707715813598,0,0,0.038,0.012,3.77,1.156,32.725,32.525,0.807,0.802,1.226,0.376,0.03,0.009,1.297937616,"Seagrass"
"230","SJB02",1,12,10,"LOI alysis ","N",2,0.1828,0,0.00517759021129553,0.00450968107403841,0,0,0.041,0.01,4.079,1.031,35.306,35.121,0.871,0.866,1.433,0.362,0.035,0.009,1.421654459,"Seagrass"
"231","SJB02",1,15,7,"LOI alysis ","N",2,1.3511,0,0.0355066750762115,0.0333407678965626,0,0,0.027,0.011,2.727,1.107,38.052,36.711,0.939,0.906,1.001,0.406,0.025,0.01,0.880692397,"Seagrass"
"232","SJB02",1,16,6,"LOI alysis ","N",2,0.3176,0,0.00826222684703434,0.00783259105098855,0,0,0.03,0.014,2.972,1.405,38.44,38.124,0.948,0.94,1.133,0.536,0.028,0.013,0.978962138,"Seagrass"
"233","SJB02",1,17,5,"LOI alysis ","Y",2,0.9586,0.1344,0.0293185710790311,0.0236600868607781,0.00411059456814289,0.00331724981649131,0.035,0.014,3.511,1.402,32.696,31.608,0.807,0.78,1.11,0.443,0.027,0.011,1.194530322,"Seagrass"
"234","SJB02",1,19,3,"LOI alysis ","Y",2,0.2178,0.4586,0.00741396330462607,0.0053751233958539,0.015610852027096,0.0113178677196446,0.034,0.013,3.391,1.251,29.377,28.708,0.725,0.708,0.973,0.359,0.024,0.009,1.14632978,"Seagrass"
